context,target_word,label
Не касайтесь ничьей головы; эта часть тела считается священной.,ничьей,3
"Ну, так ведь премьер ничьей крови и не требует.",ничьей,3
"Понятно, что мои отношения с Зоей Борисовной не могли быть просты — и в этом ни ее, ни моей, да и ничьей уже, наверное, вины нет.",ничьей,3
Стародум. Не хочу ничьей погибели. Я ее прощаю.,ничьей,3
"Моя власть в ней была неограниченна, я не подчинялся никому, ничьей воле",ничьей,3
"Вскоре они вылезли на поверхность, зашагали по ничьей земле.",ничьей,3
"И тогда я буду греться в ничьей шубе, и никто не будет ходить голым.",ничьей,3
Злой мемуарист Вигель подтверждал: фон Фок совсем не был зол и ничьей погибели не искал.,ничьей,3
"Он не брался никого судить и не мог ничьей стороны принять, потому что слишком хорошо понимал и обманутого, нахохлившегося, словно великовозрастного ребенка",ничьей,3
"Угрызений совести я не испытывала, поскольку ничьей семьи не разбивала и ничьих детей не лишала отца.",ничьей,3
"Боксерский поединок был очень конкурентным, но закончился спорной ничьей.",ничьей,2
Соревнование по конному спорту закончилось нулевой ничьей после захватывающего показа точности.,ничьей,2
"Вчерашнее дерби закончилось захватывающей ничьей, удивив всех на стадионе.",ничьей,2
"Потасовка вспыхнула среди болельщиков после футбольного матча, который завершился спорной ничьей.",ничьей,2
"Казалось, что этот высоковольтный футбол вот-вот закончится нулевой ничьей, если только не случится чудо.",ничьей,2
"Первая в этом сезоне встреча лидера с одним из преследователей протекала нервно, а закончилась ничьей и дракой.",ничьей,2
"Но Иванчук (и это необъяснимо для многих), имея ощутимый перевес, либо довольствуется ничьей, либо вовсе проигрывает.",ничьей,2
"Для выхода в четвертьфинал Лиги чемпионов ему обязательно нужно забивать в гостях в Севилье — после домашней результативной ничьей со счетом 1: 1 армейцев устроит либо победа, либо более результативная ничья в гостях.",ничьей,2
"Опять ничья следовала за ничьей, но тут Гарри выиграл ещё две партии.",ничьей,2
Матч закончился ничьей,ничьей,2
"К тому же Крамник почти официально провозгласил сомнительный принцип: играя с сильными шахматистами чёрными, не напрягаться и довольствоваться ничьей, а ставку делать только на белые фигуры.",ничьей,2
И у Морозевича с Ароняном стартовое волнение закончилось ничьей на 25-м ходу.,ничьей,2
"В цейтноте белые взяли слона на d1, и дело кончилось ничьей.",ничьей,2
"Игра с мячом закончилась драматической ничьей, оставив болельщиков в напряжении.",ничьей,2
Спортсмены надели свои майки для предматчевой фотосессии.,надели,4
Хористы надели одинаковые мантии для важного мероприятия.,надели,4
Участники беспорядков надели маски мировых лидеров.,надели,4
Через месяц они уже надели обручальные кольца.,надели,4
Все надели яркие наряды для радостного праздника в честь весеннего равноденствия.,надели,4
Дети надели комбинезоны для своих грязных художественных проектов в школе.,надели,4
"На семейной встрече все надели дирндль, чтобы отпраздновать свое наследие.",надели,4
"Дети надели футболки с их любимыми супергероями, готовые к костюмированной вечеринке.",надели,4
"Они надели шляпы с яркими узорами, чтобы собирать средства на благотворительность.",надели,4
"Мы планировали сделать его совершенно другим, я уже приготовился играть парня с итальянским акцентом, но меня посадили в кресло гримера, надели парик, и я сказал: «Эй, это же совершенно другой парень!»",надели,4
Они просто из баловства надели гадские белые водолазки и стали приставать к девчатам под песню Марка Фрадкина,надели,4
"Водителя и охранника преступники заковали в наручники и надели на головы мешки, а бизнесмена затолкали в «Волгу», которая уехала в неизвестном направлении.",надели,4
"А что вы почувствовали, когда впервые надели роскошное белье?",надели,4
Поначалу на меня надели какую-то немыслимую юбку.,надели,4
"Собрались за столом мужики, женщины надели лучшие платья.",надели,4
"Надели свою мечту такими яркими деталями и уверенностью, чтобы она начала сбываться.",надели,5
"Чтобы проект был успешным, надели руководителя всей полнотой власти для принятия решений.",надели,5
"Надели этот простой жест таким глубоким чувством, чтобы он сказал больше любых слов.",надели,5
"Когда будешь делить семейную реликвию, надели каждую дочь по равноценному предмету, чтобы сохранить мир в семье.",надели,5
"Надели это старинное здание статусом памятника архитектуры, чтобы защитить его от сноса.",надели,5
"Прежде чем начать игру, надели всех персонажей уникальными способностями, чтобы сделать её интереснее.",надели,5
"Надели свою речь убедительными доводами, если хочешь склонить совет директоров на свою сторону.",надели,5
"Надели новых сотрудников доступом к корпоративной базе данных, но с ограниченными правами.",надели,5
"Чтобы картина обрела жизнь, надели каждый мазок на холсте частицей своей души.",надели,5
"Надели это старинное кольцо особым смыслом, пусть оно станет для неё не просто украшением, а талисманом.",надели,5
"Когда будешь составлять завещание, надели своего верного помощника частью состояния в знак благодарности.",надели,5
"Надели эту волшебную палочку своей верой в чудо, и тогда она обретёт настоящую силу.",надели,5
"Если ты так уверен в его честности, то надели его всеми необходимыми правами для управления проектом.",надели,5
"Пожалуйста, надели меня доверенностью на право подписи, пока я буду в отъезде.",надели,5
"Надели своих героев яркими чертами характера, если хочешь, чтобы твоя книга запомнилась читателям надолго.",надели,5
Чистое голубое небо было отрадой для глаз после дней дождя.,небо,7
"Я увидел, как связка воздушных шаров улетает в небо.",небо,7
"Сегодня вечером мы будем наблюдать, как метеоритный дождь озарит небо.",небо,7
"Сжатый воздух вдруг ударил в небо с такой силой, что Тома почувствовал, как голова его приподнялась на своей подставке.",небо,6
"Блюдо из пасты имело кремовый привкус, который обволакивал небо.",небо,6
Её небо было утончённым и ценило оттенки вкуса в разных сортах вина.,небо,6
"Нам вообще сложно представить себе, что почувствовал бы американский читатель лет сто назад, добравшись до сцен, в которых Неб спрашивает, кто сегодня будет помогать ему на кухне.",неб,7
Неб позвал меня только в десять часов.,неб,7
"С 1938 до 1945 среди президентов Интерпола были Отто Стейнхэусл, Райнхард Хейдрих, Артур Неб и Эрнст Калтенбруннер.",неб,7
"Для здорового питания важно разнообразие текстур пищи, которое массирует поверхность наших неб.",неб,6
Строение неб у различных млекопитающих имеет свои анатомические особенности.,неб,6
Врач осмотрел слизистую оболочку неб маленького пациента.,неб,6
"Мы наблюдали, как ледяные шарики града сыпались с темнеющего неба.",неба,7
"Ворон изящно летел, распластав крылья на фоне ясного голубого неба.",неба,7
С бокового вида горный хребет выглядел потрясающе на фоне неба.,неба,7
"В фонетике палатальный звук образуется, когда язык касается твёрдого неба.",неба,6
"Сухость во рту может привести к нарушению свода неба, влияя на вкусовые ощущения.",неба,6
Эта картина показывает острый отек на правой стороне твердого неба.,неба,6
"Звёзды сияют в тёмном небе, создавая прекрасную ночную картину.",небе,7
После проливного дождя мы увидели несколько радуг на чистом небе.,небе,7
"Самолёт пролетел над нами, оставив белый след на голубом небе.",небе,7
"Блюдо было испорчено неприятным вкусом, который задерживался на моём небе.",небе,6
"Вино было насыщенным, оставляя богатое послевкусие, которое долго оставалось на моём небе.",небе,6
"Она наслаждалась солодовым послевкусием виски, которое оставалось на её небе.",небе,6
"Сад выглядел великолепно под сумеречным небом, сияя тёплыми красками.",небом,7
"Пустой парк выглядел ещё грустнее под тёмным, облачным небом.",небом,7
Легенды часто изображают древо жизни как связь между небом и землёй.,небом,7
Некоторые собаки рождаются с удлиненным мягким небом.,небом,6
"Это происходит потому, что воздух, а иногда и мусор попадает в ловушку под небом собаки, что вызывает раздражение и может даже повлиять на их дыхание.",небом,6
"Еще один фактор - дальняя часть языка сложнее всего очищается естественным нормальным путем, так как соприкосновение ее происходит только с мягким небом.",небом,6
"Звёзды выглядели как крошечные бриллианты, рассыпанные по тёмному небу.",небу,7
Яркие метеоры пронеслись по ночному небу во время метеоритного дождя.,небу,7
Густой туман постепенно уступал ясному небу по мере восхода солнца.,небу,7
Тщательное пережевывание позволяет языку и небу лучше чувствовать вкус пищи.,небу,6
Движение языка по твердому небу и щекам помогает сформировать округлую массу или болюс пищи.,небу,6
"Обычно врачи находят опухоли на передней части мягкого нёба, которая ближе к твердому небу.",небу,6
"Очень важное сведение, которое мне, как путешественнику, чрезвычайно интересно",сведение,8
Государь получил сведение о существовании заговора и имел в руках бумаги,сведение,8
"Мне было любопытно проверить сведение, что мозг не испытывает боли.",сведение,8
"Начнется резня, сведение расовых счетов, которые накопились за двадцать пять лет",сведение,9
"дух процесса — это сведение всего к морали; это абсолютный нигилизм по отношению ко всему, что являют собой труд, искусство и творчество",сведение,9
"Сведение мелких счетов, возня литературных лагерей, «идеологические» причины?",сведение,9
"Кроме того, поступают сведения из больниц — там скончались уже 10 человек.",сведения,8
"Сверх того, дошло до моего сведения, что один проезжий москвич, добрейший, впрочем, юноша, мимоходом отозвался обо мне как о человеке выдохшемся и пустом.",сведения,8
своевременно доводит до сведения участников соревнований всю необходимую им информацию,сведения,8
Сторонам следует принимать предупредительные меры в целях сведения к минимуму причин изменения климата и смягчения его отрицательных последствий,сведения,9
Поэтому попытка сведения христианства к какой-то социальной или политической доктрине не выдерживает никакой критики.,сведения,9
"Похоже, борьба вокруг ЮКОСа используется для сведения счетов между двумя основными околопрезидентскими кланами",сведения,9
Рекомендовано принять к сведению замечания контролера,сведению,8
"Шаймиев якобы не стал ничего обещать президенту, но к сведению его слова, естественно, принял.",сведению,8
"По сведению историка, Константин поставил в церкви тринадцать гробниц",сведению,8
Посвятившие всю жизнь сведению счетов с большевизмом,сведению,9
Эта работа по сведению воедино двух линий исследования — генетической и патологической,сведению,9
"Это свидетельствует о том, что власть стремится к сведению политических счетов",сведению,9
автор обязан этим сведением Г. Петросяну,сведением,8
"Бю-ю-ва-ар, — восхищено вздохнули школьники, обогащенные книжным сведением.",сведением,8
Это будет для них новым сведением о деле,сведением,8
Наталья Владимировна озадачилась сведением Кузнецовой со знакомой главбухшей.,сведением,9
Все чаще Лавру приходится заниматься зубной болью и сведением бородавок.,сведением,9
Сведением их в единую базу данных займется одно из подразделений компании «Локхид-Мартин»,сведением,9
Он часто думал о сведении о родителях Джеймса,сведении,8
"В этом сведении, полученном от посторонних лиц, были несостыковки",сведении,8
Он под честным словом просил меня никому об этом сведении до суда не сообщать.,сведении,8
Выдвигается гипотеза о сведении большинства прозаических текстов к множеству жестких параметризированных шаблонов.,сведении,9
"При сведении леса и передачи земли под выгон, покос или пашню подзолистые почвы становятся дерново-подзолистыми",сведении,9
"Вскоре станция исчерпает свой ресурс, и будет принято решение об ее закрытии — о сведении ее с орбиты.",сведении,9
Некоторые сведения о системе моделирования можно почерпнуть из работы,сведения,8
Более подробные сведения могут дать следующие товарищи,сведения,8
"Кое-какие сведения для шантажа его имелись, но полного успеха не гарантировали.",сведения,8
"Насчет таблиц сведения, конечно, не до конца проверены, — продолжал Теткин, — а насчет «пи» я своими глазами видел.",сведения,9
Внезапные сведения дивизий в один кулак решили исход сражения,сведения,9
Тактические сведения подразделений к центру обороны были выполнены безупречно.,сведения,9
"Есть в них много общего с русскими, белорусскими, украинскими, но у прибалтов сохранилось больше сведений об обрядах",сведений,8
Достоверных сведений о нитевидных выделениях клинопироксенов ряда диопсида-геденбергита чрезвычайно мало,сведений,8
"Как обычно бывает в таких случаях, оперативники занялись сбором сведений о личности убитой",сведений,8
Механик проверял точность сведений тормозных колодок,сведений,9
Программа позволяет смоделировать процессы сведений двух компаний в одну корпоративную структуру.,сведений,9
Строители контролировали процессы сведений мостов,сведений,9
"По одним сведениям он уехал в Калугу, по другим — в Израиль.",сведениям,8
"По сведениям «Власти», дело может обойтись и без комиссии",сведениям,8
"В армии еще серьезней, чем в дивизии, отнеслись к сведениям политрука.",сведениям,8
Хирург приступил к сведениям краев ран,сведениям,9
Архитектор приступил к сведениям зданий в одно целое.,сведениям,9
Звукорежиссер приступил к сведениям музыкальных дорожек.,сведениям,9
"Они обихаживали его, как разведчика, переползшего через линию фронта с ценными сведениями.",сведениями,8
Охотно делился уже имеющимися в памяти сведениями.,сведениями,8
В конце книги дается список таких лиц с краткими сведениями о них.,сведениями,8
Сведениями музыкальных дорожек можно увлечься.,сведениями,9
Сведениями леса до гола может привлечь к засухе.,сведениями,9
Сведениями зданий в одно целое может повлечь боль жителей.,сведениями,9
Борька умчался докладывать команданте о ценных сведениях и собственных подвигах в тылу врага.,сведениях,8
"В более поздних сведениях указывалось, что Вышня, Род и Сварог являлись одним и тем же лицом.",сведениях,8
"Основываясь на этих сведениях, можно предположить, что чертеж был составлен в начале 1718 г.",сведениях,8
"Почему при таких сведениях всё к нелепому, мы в это верим?",сведениях,9
"Удивительно, при таких сведениях объема питания, он продолжает работать.",сведениях,9
"Странно, при таком сведениях мышц необходимо обратиться к врачу.",сведениях,9
"Прошу меня простить, но я спизжу вашу жену.",спизжу,10
"Если я соберусь написать ещё один роман, я спизжу пару идей.",спизжу,10
Я больше никогда ничего не спизжу и не стану продавать наркоту.,спизжу,10
"Спизжу, если скажу, что так не было задумано.",спизжу,11
"Я спизжу, если скажу, что не сожалею о случившемся.",спизжу,11
"Я не спизжу, если скажу, что это была лучшая поездка из всех!",спизжу,11
"Если что-нибудь спиздишь в моем магазине, я обязательно узнаю и тебе не поздоровится.",спиздишь,10
"Но я и не думала, что ты спиздишь мою чайную вечеринку",спиздишь,10
"Откуда мне знать, что ты его не спиздишь?",спиздишь,10
"Еще раз мне спиздишь, и можешь попрощаться со вторым глазом.",спиздишь,11
"Если ты мне ещё раз спиздишь, я с тебя живьём шкуру спущу.",спиздишь,11
"Если ты спиздишь, это обязательно приведёт к неприятностям рано или поздно.",спиздишь,11
"Компания может подать в суд за ущерб, если конкурент спиздит их идеи.",спиздит,10
"Этот плутишка спиздит ваше сердце, а заодно и кошелек.",спиздит,10
"Однако вы рискуете тем, что ее кто-нибудь спиздит.",спиздит,10
Потому что результат никогда не спиздит.,спиздит,11
Спиздит как обычно виртуозно и выйдет сухим из воды.,спиздит,11
"Талантлива, очаровательна, но спроси ее, который час, — посмотрит на часы и спиздит.",спиздит,11
ворвётесь в башню с заготовками и спиздите кукурузу?,спиздите,10
"Если вы спиздите даже менее 10 голов крупного рогатого скота в Техасе, это эквивалентно 10 годам тюрьмы в штате.",спиздите,10
"Если вы спиздите iPhone, то его владелец может вас выследить.",спиздите,10
"Но если вы спиздите, у вас все равно могут быть проблемы.",спиздите,11
"Если вы спиздите, то вас ожидает лишение свободы на 12 месяцев.",спиздите,11
"Спиздите мне, я вас из окна выброшу.",спиздите,11
"Она предлагает часы, но он говорит что бандиты спиздят их.",спиздят,10
В таком случае воры даже если спиздят ваш гаджет не смогут просмотреть вашу личную информацию.,спиздят,10
"Антиугонное устройство было единственным способом убедиться, что ее машину не спиздят.",спиздят,10
"Так и знал, что мне спиздят.",спиздят,11
Верьте антисемитам и рабовладельцам - они не спиздят.,спиздят,11
"Не задавай вопросов, и тебе не спиздят.",спиздят,11
"Спизди для меня сырок, пожалуйста...",спизди,10
Тогда для начала пойди и спизди лошадь...,спизди,10
"А все остальное… да ты почитай Кодекс строителя коммунизма: не убей, не спизди — ну все, кроме Бога.",спизди,10
"Когда родители спросят обо мне, пожалуйста, спизди.",спизди,11
"Скажи, что я обещала подумать. Ну, спизди что-нибудь… Катя, я не собираюсь врать собственному сыну! — строго ответил он.",спизди,11
Если он увидит письмо — просто спизди ему как-нибудь.,спизди,11
Мы устроим им засаду и спиздим 30 тысяч лянов серебра.,спиздим,10
"А ведь он и вправду думал, что мы книжки спиздим.",спиздим,10
"В следующий раз, когда мы спиздим униформу у мёртвых людей, убедись, пожалуйста, что я возьму ту, что побольше?",спиздим,10
"«Давай спиздим маме», - говорит взрослый мужчина, будто бы спрашивая разрешение у маленького сына",спиздим,11
"Исследования показывают: вероятность того, что мы спиздим лицом к лицу меньше, чем, если мы говорим по телефону или общаемся в Интернете.",спиздим,11
"А мы только перед этим решили пропустить первых два урока и придумали, что спиздим, будто одинокой старушке стало плохо на улице и нам пришлось отводить ее домой.",спиздим,11
Ну вот прям как типичный Телец я выбираю красное вино…,телец,13
"Далее образовались такие пары: Овен — Собака, Телец — Руки, Близнецы — Дерево, Рак — Ящерица, Лев — Игуана, Дева — Паук, Весы — Фрегат (птица), Скорпион — Обезьяна.",телец,13
"Наказал Ты меня — я наказан, словно телец упрямый",телец,13
"Однако в ближайшее время на помощь придет магнитно-резонансная томография — опять же благодаря крохотным частицам железа, которые в тысячу раз меньше красных кровяных телец.",телец,12
"Вся она гудит, движется — тысячи маленьких пчелиных телец.",телец,12
"Эта пыль состоит из очень мелких телец, видимых только в микроскоп; они так малы, что на одном вершке их поместилось бы в ряд около тысячи пятисот.",телец,12
"Самое раннее письменное свидетельство «открытия» Урана датируется 1690 годом, когда другой британский астроном, Джон Флэмстид, внес его в каталог под названием 34 Tauri, то есть причислил к созвездию Тельца, не догадываясь, что это — планета.",тельца,13
Марс движется сначала по созвездиям Овна (до 26 июля) и Тельца.,тельца,13
13 марта 1781 года он изучал расположение светил в районе созвездия Тельца.,тельца,13
Антрациты — так могли бы называться чёрные кровяные тельца,тельца,12
"Основой для «орловчанки» послужил маленький веничек — магический предмет в традиционном русском быту, а тельца португальских кукол собраны из веточек и местных газет и обмотаны шерстяными нитями",тельца,12
"Их обнаженные тельца были красны от холода, а глаза горели жаждой жизни.",тельца,12
"Наука должна служить человечеству, а у империалистов она будет служить голой наживе, золотому тельцу…",тельцу,13
Сейчас эти критерии катастрофически быстро исчезают из теперешней нашей жизни — в угоду золотому тельцу и темным инстинктам.,тельцу,13
"Мамонизм стал определяющей силой века, который более всего поклоняется золотому-тельцу.",тельцу,13
И ничего больше не надо — только прикоснуться к родному тельцу…,тельцу,12
"Обезьянка живо реагировала на крик птенца, прижималась к его пушистому тельцу и гладила его лапками",тельцу,12
"Ведь и этому изношенному худенькому тельцу, небось, тоже мечталось, желалось любви?",тельцу,12
"Каждый глянцевый журнал на последней полосе предостерегает: «Всем Тельцам сегодня надо быть осторожными, а Водолея сегодня ждет удача».",тельцам,13
"Откуда в Рыбах внутренний огонь, Чем близок Близнецам холодный камень, Чем соприродна темная вода Могучим Львам, эфир — Тельцам и Девам?..",тельцам,13
"15 Иеровоам назначил священников, чтобы они служили в капищах, служили козлищам и тельцам, которых он сам же и сделал.",тельцам,13
"Определяют, как насекомые могут помочь растениям в опылении (к конечностям и тельцам насекомых прилипает пыльца)",тельцам,12
Тельцам детей необходима защита от солнца!,тельцам,12
"К маленьким тельцам детей, сложно адаптироваться на улице",тельцам,12
"Канавы были полны маленькими копошащимися тельцами, цеплявшимися друг за друга.",тельцами,13
"В рассуждении рода быков, которые в первом возрасте называются теленками, потом молодыми быками, потом тельцами, а наконец настоящими быками и коровами.",тельцами,13
"Первая, яко телец на себе ярем носит, якоже во иных землях ведаем, идеже тельцами или волами орют, возят, и различныя тяжкия работы тельцами отправляют",тельцами,13
"Согласно первоначальной атомистической концепции атомы представлялись просто очень маленькими частицами вещества, маленькими тельцами, имеющими, в частности, определенную форму и цвет, от которых зависят физические свойства и цвет больших скоплений атомов.",тельцами,12
Постепенно теряется активность. Кровь перенасыщена белыми тельцами. 23 часа — физиологический спад.,тельцами,12
"Он отрешенно прокладывал себе путь через меридианы стальных трупиков — с узкими, как у червяков, тельцами.",тельцами,12
Для точной справки можно обратиться к текстам Завета и ознакомиться с притчами о Золотом Тельце,тельце,13
"Между прочим, объяснил Вальгулио, что последний припадок французской болезни у герцога зависел от дурного действия сухой планеты Марс, вступившей в знак влажного Скорпиона; но только что соединится Марс с Венерою, при восходящем Тельце, — болезнь пройдет сама собою",тельце,13
"Когда напишут книгу о тельце, тогда и будешь меня домашними животными управлять, а особенно коровами!",тельце,13
"У нас в патологии сейчас лежит ребенок — тельце крошечное, а головка девяносто сантиметров в диаметре",тельце,12
"Худенькое, иссохшее от лихорадки тельце ребенка задрожало, забилось в ознобе.",тельце,12
"Стоял долго, продрог — согревало только теплое тельце Анче, прижавшееся к коленям.",тельце,12
"Море медяно бяше в церкви Соломоновой на дванадесяти тельцах медных утверждаемо, якоже читаем в книгах вторых Паралипоменон в главе 4.",тельцах,13
"О тельцах много информации в деревне водится, тут в городе мы быков не имеем.",тельцах,13
"Так давай поговорим о твоих тельцах, когда они проходят поле, после них ничего не растет.",тельцах,13
"И в-третьих, наши молекулы гемоглобина упакованы в красных кровяных тельцах-эритроцитах, а молекулы гемоцианина, в силу своей большой величины (они состоят из множества более мелких сегментов) свободно плавают в кровяной лимфе насекомого или моллюска.",тельцах,12
"Междольковые артерии делятся на приносящие клубочковые артериолы, которые в почечных тельцах распадаются на капилляры фенестированного типа, образующие капиллярные клубочки почечного тельца",тельцах,12
"Конечно, речь в данном случае не идет о пресловутых красных кровяных тельцах, но подобная ситуация в свете массовых разоблачений создает дополнительный казус и заставляет болельщиков взирать на победы Армстронга с недоверием.",тельцах,12
"Стреляясь при обыкновенных условиях, он мог целить мне в ногу, легко меня ранить и удовлетворить таким образом свою месть,",целить,14
"Серьезность намерений исключала фантазии о случайностях типа «рояль в кустах», наступать предстояло открыто, целить прямой наводкой, вплоть до сватовства.",целить,14
"Считается, что надежно целить в сердце, — ответил Корзиныч, потирая клетчатую, седую от стирок рубаху там, где это сердце, по-видимому, пробовало перевернуться.",целить,14
"Лекаря нашли, заставили хворого воина целить, а воин тот возьми да и помри, невзирая ни на какое целение.",целить,15
"Я его еле до кровати дотащила… Ты целить умеешь, Цира? Нет.",целить,15
"Какая польза целить их тела, когда повседневно губят они души свои?",целить,15
"Ведь понимает, что не погулять я сюда с Бродвея заскочил, что на его место целю.",целю,14
"Ну, я на такие слова осерчал и целю ей в лоб, да ведь спьяну-то не попал, в спину дотянулся, пальцы расшиб",целю,14
"швырнул бутылку в трубу на соседней крыше. Бутылка раскололась. По крыше полились, перезванивая, осколки. Я целю верно, — сказал Ставраки. Даже слишком. Он быстро повернулся и вышел",целю,14
Я обладаю даром врачевания и целю больных и убогих,целю,15
"Перевязываю, режу раненых. В общем ""целю"" бедных солдат.",целю,15
Как психотерапевт я целю душеные раны.,целю,15
"Равновесие надо ловить с упреждением, это как если по тарелочке стреляешь, то целишь не в нее, а туда, где она будет через секунду.",целишь,14
"Репортер снова поднял камеру, но на этот раз одноногий уже внимательно следил за ним и сразу уловил подвох. Куда целишь? Не входит она у тебя!",целишь,14
"Попадать надо туда, куда целишь, или, как говорил Честертон, за станцией Charring Cross должна идти не просто станция, а именно Piccadilli Circus.",целишь,14
"Ты тяжесть дум снимаешь до утра, Целишь их жар прохладою ночною, И часто я, влеком своей мечтою,",целишь,15
"Говорят, что силой своих молитв ты целишь даже самые тяжкие душевные раны.",целишь,15
"О, мудрый лекарь, скажи, какими травами ты целишь этот недуг?",целишь,15
"Жена лежит лицом к белому потолку; как все больные, она не целит словами в конкретность, она сейчас отделена и отчуждена и ушла в свои долины.",целит,14
"Вскакивает, хватает прислоненное к дереву ружье, целит в Игнатова.",целит,14
"От нее не спрячешься, не увернешься: этим камнем Господь только в нас целит…»",целит,14
"Ах, как целит душу это отсутствие людей!",целит,15
"И сам Преподобный выражает здесь мысль свою, со сладостию свидетельствуя, как целит слово святого.",целит,15
"Не потому оно святое, — перебил Василий, — что вода в ём голубая, а то чудно, что оно целит вот от дела какого, от горя…",целит,15
"Или он все же против был, целил в небо, а попал по лбу?",целил,14
"Но, взяв оружие, он целил без лени.",целил,14
"Один, правда, целил вот так, да рука загуляла, он только зубы вышиб да челюсть раскрошил.",целил,14
Друг своми разговорами целил мне душевную рану.,целил,15
И этот звук мне дух целил,целил,15
"Лекарь целил в замке многих людей, включая и приближенных барона.",целил,15
"И ружье целила не в него — в свой страх, в страх совершить грех с убийцей мужа.",целила,14
"Врач сказал, что наложил пятьдесят семь швов, крови ушло прилично, добавил пол-литра, вена на ноге не задета, хоть собака целила в пах.",целила,14
"Икрами-стерлядками, и подъемом ног в сбруйке ремешков, и развевающейся химически-белой гривкой, и накрашенным лицом — всем целила она в общее, витринное и попадала.",целила,14
"Екатерина на берегах Прута спасла русское войско, сохранила Петра для России. Целя душу супруга, целила и тело. Известно, государь Петр I от отравы, данной ему в молодости, подвержен был припадкам исступления.",целила,15
"Знахарка Анна целила людей травами, собранными на заре, и тихой молитвой.",целила,15
Она годами целила его терпением и заботой после тяжёлого ранения.,целила,15
"И дно то представало весёлым и ровным, песчаным, ясно видимым сквозь чистую воду, то обрывалось непроглядными ямами, то целило в лодочное днище камнями, коварно затаившимися под самой поверхностью, — заметишь, только когда уже поздно будет сворачивать…",целило,14
"И дно то представало весёлым и ровным, песчаным, ясно видимым сквозь чистую воду, то обрывалось непроглядными ямами, то целило в лодочное днище камнями, коварно затаившимися под самой поверхностью, — заметишь, только когда уже поздно будет сворачивать…",целило,14
"Впрочем, даже если бы демократическое движение было предельно сдержанным и никак не пыталось форсировать событий, а целило только на создание традиции единичных выступлений,",целило,14
Слово Господне целило тогда сердечные струпы и очищало их.,целило,15
Уединение деревенской жизни успокоительно действовало на мою душу и целило раны прошедшего.,целило,15
"Местное поверье гласило, что чистое горное озеро целило всех, кто в нём искупался.",целило,15
"Целили по икре, в самое нежное место.",целили,14
"Говоря о ситце, машине и быте, производственники целили в человека, вернее, в его растущие возможности и новую родовую",целили,14
"Однако мощное и удачное бомбометание второй эскадрильи заставило его замереть и сморщиться. Конечно, эскадрильи целили в главный объект.",целили,14
"В разоренную землю вошли мы и целили ее, а ты что сделал?",целили,15
"Если мы вспомним, что пророчествовали, чудодействовали, учили, целили и говорили разными языками не особо поставленные апостолом люди,",целили,15
"В древности народные целители целили травами и заговорами, передавая знания из поколения в поколение.",целили,15
"Каждый раз, когда мы целим в мишень, мы должны быть абсолютно уверены в своей руке.",целим,14
"В этом проекте мы целим не просто в успех, а в полное изменение рынка.",целим,14
"Прежде чем стрелять, мы целим долго и тщательно, чтобы не промахнуться.",целим,14
"Мы верим, что силой духа и добрым словом мы целим даже самые глубокие раны.",целим,15
"Мы не просто даём лекарства; мы целим заботой, вниманием и верой в выздоровление.",целим,15
